                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97513,                 2.0541,                 1.2621,                  0.346,                0.41788,                0.34111,                0.24599,                0.56647,                 6.1833,                0.68496,             0.00029971,             0.00029971,             0.00029971
                     36,                0.98666,                 1.8864,                 1.2633,                0.38693,                0.45519,                0.35297,                 0.2531,                0.57089,                 9.4158,                 0.6809,             0.00026756,             0.00026756,             0.00026756
                     37,                0.99671,                 1.8633,                 1.2827,                0.38321,                0.45774,                0.36174,                0.25731,                0.57042,                 7.7704,                0.68391,             0.00023684,             0.00023684,             0.00023684
                     38,                0.97395,                 1.9322,                 1.2725,                0.40871,                0.45637,                0.37149,                0.26762,                0.57441,                 8.2028,                0.68312,             0.00020769,             0.00020769,             0.00020769
                     39,                0.95344,                 1.8247,                 1.2375,                0.41938,                0.42092,                0.36063,                0.25998,                0.56864,                 7.7372,                0.68351,              0.0001802,              0.0001802,              0.0001802
                     40,                0.94449,                  1.852,                 1.2304,                0.40208,                0.44539,                0.36713,                0.26478,                0.56095,                 8.0673,                0.67777,             0.00015449,             0.00015449,             0.00015449
                     41,                0.79982,                  2.023,                 1.0442,                0.37974,                 0.4154,                0.35346,                0.25574,                0.56108,                 4.7746,                0.68186,             0.00013067,             0.00013067,             0.00013067
                     42,                0.81157,                 1.8006,                 1.0496,                0.38106,                0.39895,                0.36356,                0.26376,                0.56441,                 4.6998,                0.68458,             0.00010882,             0.00010882,             0.00010882
                     43,                0.79552,                 1.7921,                 1.0621,                0.40818,                0.41485,                0.36422,                0.26193,                 0.5671,                 4.6521,                0.68805,             8.9035e-05,             8.9035e-05,             8.9035e-05
                     44,                0.76594,                 1.6967,                 1.0415,                0.36531,                0.44299,                0.36177,                0.26326,                 0.5669,                 5.4464,                0.68753,             7.1388e-05,             7.1388e-05,             7.1388e-05
                     45,                0.72645,                 1.7165,                  0.991,                  0.405,                0.39977,                0.35637,                0.25953,                0.55901,                 3.8487,                0.68115,             5.5951e-05,             5.5951e-05,             5.5951e-05
                     46,                0.79606,                 1.8226,                 1.0584,                0.39881,                0.43082,                0.36555,                 0.2648,                0.56107,                 4.6531,                0.68057,             4.2784e-05,             4.2784e-05,             4.2784e-05
                     47,                0.76796,                 1.8825,                 1.0401,                0.40466,                0.43591,                0.36246,                0.26433,                0.55594,                 5.0349,                0.67972,             3.1939e-05,             3.1939e-05,             3.1939e-05
                     48,                0.80753,                 1.8325,                 1.0797,                0.40003,                0.41879,                0.35967,                0.26182,                0.55737,                 4.3971,                0.67941,              2.346e-05,              2.346e-05,              2.346e-05
                     49,                0.74753,                 1.7456,                 1.0078,                0.40602,                0.43146,                0.35966,                0.26059,                0.55936,                 4.5864,                 0.6829,             1.7379e-05,             1.7379e-05,             1.7379e-05
                     50,                0.75935,                  1.675,                 1.0573,                 0.3925,                0.43009,                0.36127,                0.26267,                0.56211,                 4.9665,                0.68428,             1.3721e-05,             1.3721e-05,             1.3721e-05
