                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62657,                 1.4463,                0.79383,                0.52935,                0.20613,                0.30914,                0.21664,                0.38169,                 1.0987,                0.45041,             0.00041646,             0.00041646,             0.00041646
                      2,                0.68064,                 1.5654,                0.82474,                0.40728,                0.33007,                 0.2984,                0.20418,                0.40675,                 1.3576,                0.47611,             0.00080564,             0.00080564,             0.00080564
                      3,                0.67499,                 1.5808,                0.82002,                0.48436,                  0.264,                0.31418,                0.20914,                0.41022,                 1.1257,                0.48143,              0.0011673,              0.0011673,              0.0011673
                      4,                0.69034,                 1.5854,                0.83493,                0.46367,                0.26998,                0.27697,                0.18944,                0.41088,                   1.19,                0.48753,              0.0011263,              0.0011263,              0.0011263
                      5,                0.71102,                 1.5583,                0.85946,                0.40141,                0.31567,                 0.3106,                0.21284,                0.40336,                 1.2243,                0.47153,               0.001085,               0.001085,               0.001085
                      6,                0.67467,                 1.5403,                0.82847,                0.37458,                0.32436,                0.28801,                0.19659,                0.39671,                 1.3025,                0.46385,              0.0010438,              0.0010438,              0.0010438
                      7,                0.70513,                 1.5597,                0.85478,                0.41565,                 0.3703,                0.33277,                  0.226,                0.38703,                 1.5522,                0.45287,              0.0010025,              0.0010025,              0.0010025
                      8,                0.69069,                 1.5142,                0.83049,                0.49382,                0.31578,                0.32168,                 0.2275,                0.38755,                 1.2535,                0.45675,             0.00096125,             0.00096125,             0.00096125
                      9,                0.69675,                 1.5468,                0.84376,                0.51677,                0.29419,                0.33444,                0.23688,                0.40511,                 1.1132,                0.46837,                0.00092,                0.00092,                0.00092
                     10,                0.67646,                 1.5254,                0.83465,                0.47894,                0.31084,                 0.3362,                0.23114,                0.40164,                 1.1557,                0.46426,             0.00087875,             0.00087875,             0.00087875
                     11,                0.67272,                 1.4817,                0.82509,                0.45667,                0.35123,                0.34096,                0.24113,                0.38769,                 1.2609,                0.45605,              0.0008375,              0.0008375,              0.0008375
                     12,                0.66698,                 1.4667,                0.83307,                0.45047,                0.34753,                0.33946,                0.24144,                0.37918,                 1.2169,                0.45179,             0.00079625,             0.00079625,             0.00079625
                     13,                0.66095,                 1.4935,                0.82402,                0.40908,                0.35954,                0.33134,                0.23154,                0.38823,                 1.3425,                0.45216,               0.000755,               0.000755,               0.000755
                     14,                0.66645,                 1.4558,                0.81894,                0.47581,                0.34961,                0.32676,                0.22685,                0.39334,                 1.2551,                0.45896,             0.00071375,             0.00071375,             0.00071375
                     15,                 0.6583,                 1.4488,                0.81296,                0.50242,                0.34147,                 0.3506,                0.24998,                0.38531,                 1.1789,                0.45569,              0.0006725,              0.0006725,              0.0006725
                     16,                 0.6358,                 1.4226,                0.80084,                0.46481,                 0.3855,                0.36043,                0.25155,                0.38483,                 1.2366,                0.45774,             0.00063125,             0.00063125,             0.00063125
                     17,                0.64503,                  1.446,                0.82144,                0.44346,                0.38767,                0.35227,                0.24968,                0.37703,                 1.3143,                0.45234,                0.00059,                0.00059,                0.00059
                     18,                0.63757,                 1.4064,                0.79825,                  0.455,                0.35964,                0.34837,                0.24982,                0.37571,                 1.2455,                0.44627,             0.00054875,             0.00054875,             0.00054875
                     19,                0.62436,                 1.3363,                0.78855,                0.45266,                 0.3652,                0.36874,                0.26172,                0.37755,                 1.2864,                0.44851,              0.0005075,              0.0005075,              0.0005075
                     20,                0.63087,                 1.3431,                0.80348,                0.47507,                0.36268,                0.36073,                0.25715,                 0.3819,                 1.2706,                0.45108,             0.00046625,             0.00046625,             0.00046625
                     21,                0.34384,                0.75329,                0.44488,                0.52184,                0.26194,                0.31291,                0.22088,                0.38842,                  1.114,                0.45881,               0.000425,               0.000425,               0.000425
                     22,                0.34429,                0.75176,                0.44739,                0.49906,                  0.288,                 0.3477,                0.25332,                0.38457,                 1.1123,                0.45785,             0.00038375,             0.00038375,             0.00038375
                     23,                0.34918,                0.77055,                0.46341,                0.44332,                0.32659,                0.33844,                0.23985,                0.37518,                 1.1976,                 0.4538,              0.0003425,              0.0003425,              0.0003425
                     24,                 0.3249,                0.71902,                0.44015,                 0.4861,                0.22303,                0.30611,                0.21997,                0.39248,                  1.138,                0.46315,             0.00030125,             0.00030125,             0.00030125
                     25,                0.33683,                0.69299,                0.44925,                0.45937,                0.29878,                0.33554,                0.23915,                0.38277,                 1.1605,                0.46015,                0.00026,                0.00026,                0.00026
                     26,                0.32626,                0.70888,                0.44152,                0.46447,                0.29336,                0.33275,                0.24359,                 0.3813,                 1.1237,                0.45214,             0.00021875,             0.00021875,             0.00021875
                     27,                0.32766,                 0.7121,                0.44004,                0.44826,                0.35791,                0.35398,                0.25628,                0.37633,                 1.2239,                0.45155,              0.0001775,              0.0001775,              0.0001775
                     28,                0.32581,                0.66411,                0.44551,                0.48573,                0.29289,                0.34881,                0.25354,                0.38355,                  1.149,                0.45657,             0.00013625,             0.00013625,             0.00013625
                     29,                0.33271,                0.66843,                0.44048,                0.48668,                0.30635,                0.34377,                0.24682,                0.38473,                 1.1476,                0.45555,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                 0.3203,                0.63971,                0.43879,                 0.4934,                0.36797,                0.35731,                0.25671,                0.38212,                 1.2263,                0.45414,              5.375e-05,              5.375e-05,              5.375e-05
