                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69296,                 1.7577,                0.83013,                0.07895,                0.44276,                0.13232,                0.08683,                0.43779,                 1.3252,                0.51594,              0.0033317,              0.0033317,              0.0033317
                      2,                   0.77,                 1.9121,                0.88516,                0.23954,                0.10617,                0.09771,                0.06116,                0.48567,                 1.4446,                0.54118,              0.0066634,              0.0066634,              0.0066634
                      3,                0.84504,                 1.9766,                0.91978,                0.15677,                0.18557,                0.10826,                0.06564,                0.50623,                 1.3091,                0.54813,              0.0099886,              0.0099886,              0.0099886
                      4,                0.92783,                  2.114,                0.98828,                0.51511,                 0.1737,                0.16117,                 0.0969,                0.51447,                 1.3897,                0.55587,               0.009978,               0.009978,               0.009978
                      5,                 0.9711,                 2.1537,                 1.0246,                0.49752,                0.15992,                0.16167,                0.09548,                0.48863,                 1.3137,                0.53675,               0.009961,               0.009961,               0.009961
                      6,                0.91558,                 2.0372,                0.98862,                 0.6275,                0.12641,                0.20752,                0.13856,                 0.4509,                  1.242,                0.51579,              0.0099391,              0.0099391,              0.0099391
                      7,                 0.9223,                 2.0358,                0.97881,                0.57509,                0.13237,                0.20634,                0.13446,                0.45614,                 1.3416,                0.50612,              0.0099123,              0.0099123,              0.0099123
                      8,                0.91699,                 2.0654,                0.98382,                 0.4924,                0.11197,                 0.1786,                0.11108,                0.47602,                 1.2417,                0.52656,              0.0098808,              0.0098808,              0.0098808
                      9,                0.90308,                 1.9801,                0.96819,                0.57842,                0.12888,                0.20545,                0.13389,                0.46543,                 1.2307,                0.51796,              0.0098445,              0.0098445,              0.0098445
                     10,                0.86489,                 1.9137,                0.92806,                0.56319,                0.14892,                0.17785,                0.11353,                0.49129,                 1.2507,                0.53083,              0.0098035,              0.0098035,              0.0098035
                     11,                0.88872,                 2.0003,                0.96739,                0.55921,                 0.1639,                0.21625,                0.14312,                0.45188,                 1.2387,                0.50871,              0.0097577,              0.0097577,              0.0097577
                     12,                0.90891,                  1.953,                0.96567,                0.57285,                0.17765,                0.23232,                0.16029,                0.45099,                 1.3104,                 0.5006,              0.0097074,              0.0097074,              0.0097074
                     13,                0.86572,                 1.9419,                0.95261,                0.53808,                0.22311,                0.22493,                0.14836,                0.44707,                 1.2909,                 0.5046,              0.0096524,              0.0096524,              0.0096524
                     14,                0.88416,                  1.931,                0.95962,                0.73504,                0.13841,                0.21134,                0.13988,                0.44466,                 1.2636,                0.50194,              0.0095929,              0.0095929,              0.0095929
                     15,                0.84588,                 1.9017,                0.93353,                 0.5884,                0.17057,                0.22835,                 0.1515,                0.45221,                 1.2079,                0.49868,              0.0095289,              0.0095289,              0.0095289
                     16,                0.84796,                 1.8843,                0.91971,                0.58007,                0.21262,                0.22736,                0.14761,                0.44914,                 1.2259,                0.49194,              0.0094605,              0.0094605,              0.0094605
                     17,                0.83446,                 1.8753,                0.90795,                0.56703,                0.16851,                0.22939,                0.14998,                0.44144,                 1.2014,                 0.4911,              0.0093877,              0.0093877,              0.0093877
                     18,                0.81482,                 1.8351,                0.90931,                0.64668,                0.17025,                0.25068,                0.17088,                0.43477,                 1.1663,                0.49469,              0.0093107,              0.0093107,              0.0093107
                     19,                0.82504,                 1.8818,                0.92126,                0.56834,                0.12619,                0.21781,                0.14114,                0.44819,                 1.2055,                0.50399,              0.0092294,              0.0092294,              0.0092294
                     20,                 0.8203,                 1.8252,                0.90264,                0.58847,                0.22043,                0.24031,                0.16002,                0.41979,                 1.2451,                0.48178,               0.009144,               0.009144,               0.009144
                     21,                0.81739,                 1.8109,                 0.8968,                0.56074,                0.24878,                0.24007,                0.15686,                0.42985,                 1.2485,                0.48064,              0.0090546,              0.0090546,              0.0090546
                     22,                 0.8054,                 1.8226,                0.89758,                0.44462,                0.21119,                0.24701,                0.16728,                0.45116,                 1.2584,                0.50226,              0.0089613,              0.0089613,              0.0089613
                     23,                0.84205,                 1.8517,                0.93375,                0.43197,                0.25878,                0.25435,                0.17028,                0.42977,                 1.2695,                0.48693,               0.008864,               0.008864,               0.008864
                     24,                0.78642,                 1.8082,                0.88418,                0.36957,                0.23035,                0.23637,                0.16021,                0.41551,                 1.2261,                0.46492,               0.008763,               0.008763,               0.008763
                     25,                0.84628,                 1.8501,                0.92161,                 0.3947,                0.20928,                0.25473,                0.16712,                0.40638,                 1.2011,                0.46439,              0.0086584,              0.0086584,              0.0086584
                     26,                0.78341,                 1.7778,                 0.8686,                0.71169,                0.14537,                  0.269,                0.18199,                0.41913,                 1.1353,                0.47532,              0.0085502,              0.0085502,              0.0085502
                     27,                  0.807,                 1.8074,                0.90928,                0.47413,                0.28933,                0.28292,                0.18652,                0.42898,                 1.3385,                0.48012,              0.0084385,              0.0084385,              0.0084385
                     28,                 0.8039,                 1.7783,                0.88207,                0.44018,                0.22137,                0.27362,                0.18244,                0.42341,                 1.1809,                0.47773,              0.0083235,              0.0083235,              0.0083235
                     29,                0.76732,                 1.7486,                0.85954,                0.45322,                0.25753,                0.27602,                 0.1938,                 0.4075,                 1.1557,                0.47538,              0.0082052,              0.0082052,              0.0082052
                     30,                0.76403,                 1.7622,                0.87288,                0.42403,                0.20702,                0.23898,                0.15875,                0.41918,                 1.1594,                0.47838,              0.0080839,              0.0080839,              0.0080839
                     31,                0.78566,                 1.7669,                0.88846,                0.49272,                0.24331,                0.27825,                0.19218,                0.40636,                 1.1662,                0.46868,              0.0079595,              0.0079595,              0.0079595
                     32,                0.75697,                 1.7183,                0.85891,                0.46294,                0.29774,                0.28409,                0.19798,                0.41126,                 1.2859,                0.46873,              0.0078323,              0.0078323,              0.0078323
                     33,                0.75071,                 1.7269,                0.86588,                 0.4591,                0.19691,                0.26943,                0.18193,                0.41409,                 1.1814,                0.47137,              0.0077023,              0.0077023,              0.0077023
                     34,                0.77935,                  1.748,                0.87918,                0.43971,                0.28927,                 0.2893,                0.19721,                 0.3931,                 1.2252,                0.45758,              0.0075698,              0.0075698,              0.0075698
                     35,                0.74337,                 1.7301,                0.85425,                0.42369,                0.30515,                0.31308,                0.21791,                0.39759,                 1.2444,                0.45496,              0.0074347,              0.0074347,              0.0074347
                     36,                0.74553,                 1.7034,                0.84702,                0.62428,                0.26165,                0.28626,                0.19597,                0.39702,                 1.2196,                0.45212,              0.0072973,              0.0072973,              0.0072973
                     37,                0.75268,                 1.7234,                0.85937,                 0.4652,                0.25401,                0.29227,                0.20165,                0.40106,                 1.1297,                0.45738,              0.0071576,              0.0071576,              0.0071576
                     38,                 0.7495,                 1.7157,                 0.8697,                0.43327,                0.27786,                0.30232,                0.21218,                0.39956,                 1.1904,                0.46055,              0.0070159,              0.0070159,              0.0070159
                     39,                0.76853,                 1.7584,                 0.8779,                0.44277,                 0.2398,                0.29634,                0.20615,                0.39681,                 1.2146,                  0.451,              0.0068722,              0.0068722,              0.0068722
                     40,                0.73973,                 1.6685,                0.85662,                0.43242,                0.30868,                0.29582,                0.20419,                0.39634,                 1.2524,                 0.4592,              0.0067268,              0.0067268,              0.0067268
                     41,                0.75386,                 1.6982,                0.87465,                0.46379,                 0.2969,                0.30872,                0.22045,                0.38503,                 1.2273,                0.44874,              0.0065796,              0.0065796,              0.0065796
                     42,                0.74123,                 1.7189,                0.87315,                0.42393,                0.29594,                0.30389,                0.21453,                0.39457,                 1.2369,                 0.4573,               0.006431,               0.006431,               0.006431
                     43,                0.73664,                 1.6444,                0.85664,                0.39942,                0.31833,                0.31761,                0.21619,                0.38723,                 1.2702,                0.44844,               0.006281,               0.006281,               0.006281
