                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.71451,                 1.6056,                0.83318,                0.40878,                0.27829,                0.30671,                0.21403,                0.37941,                 1.1532,                0.44632,              0.0061298,              0.0061298,              0.0061298
                     45,                0.72454,                 1.6344,                0.84436,                0.45637,                0.31671,                0.31438,                0.22092,                0.38832,                 1.2469,                0.44974,              0.0059775,              0.0059775,              0.0059775
                     46,                0.69795,                 1.6369,                0.82192,                0.51771,                0.28854,                0.32165,                0.23002,                0.37194,                 1.0971,                0.43848,              0.0058244,              0.0058244,              0.0058244
                     47,                0.71583,                  1.598,                0.83346,                0.44515,                0.32776,                0.31829,                0.22199,                0.37679,                 1.2268,                0.43945,              0.0056704,              0.0056704,              0.0056704
                     48,                0.69793,                 1.5795,                0.82073,                0.47229,                0.29308,                 0.3195,                0.22644,                0.37707,                 1.1401,                0.43714,              0.0055158,              0.0055158,              0.0055158
                     49,                0.69307,                 1.5736,                0.81834,                0.48841,                0.31326,                0.32225,                0.22241,                0.38295,                    1.2,                0.44635,              0.0053608,              0.0053608,              0.0053608
                     50,                 0.7117,                 1.6641,                 0.8518,                0.46818,                 0.2822,                0.30953,                0.21728,                0.38546,                 1.1585,                0.44713,              0.0052055,              0.0052055,              0.0052055
                     51,                0.69525,                 1.5618,                 0.8276,                0.44765,                0.28576,                0.31423,                0.22177,                0.37859,                 1.1763,                0.44185,                0.00505,                0.00505,                0.00505
                     52,                0.70123,                  1.547,                0.84542,                0.47507,                0.33856,                0.33558,                0.23742,                0.37806,                 1.2204,                  0.443,              0.0048945,              0.0048945,              0.0048945
                     53,                0.71371,                 1.5998,                0.84343,                0.47343,                0.31015,                0.35144,                0.25347,                0.37359,                 1.1513,                 0.4393,              0.0047392,              0.0047392,              0.0047392
                     54,                 0.6852,                 1.5569,                 0.8218,                0.48618,                0.33707,                0.33181,                0.23538,                0.38131,                 1.1854,                0.44152,              0.0045842,              0.0045842,              0.0045842
                     55,                0.69341,                 1.5868,                0.82882,                0.47587,                0.30505,                0.33411,                0.23742,                0.37251,                 1.1522,                 0.4367,              0.0044296,              0.0044296,              0.0044296
                     56,                0.68669,                 1.5585,                0.82687,                0.48896,                0.31643,                0.33619,                0.23984,                0.36952,                 1.1355,                0.43592,              0.0042756,              0.0042756,              0.0042756
                     57,                0.69258,                 1.5509,                0.81686,                0.46579,                0.33333,                0.34542,                0.24926,                0.37981,                 1.1683,                0.44382,              0.0041225,              0.0041225,              0.0041225
                     58,                0.67836,                 1.5107,                0.82332,                0.49062,                0.31639,                0.33881,                0.24192,                 0.3749,                 1.1456,                 0.4406,              0.0039702,              0.0039702,              0.0039702
                     59,                0.63938,                  1.453,                0.79514,                 0.4464,                0.32855,                0.34368,                0.24822,                0.37101,                 1.2011,                0.43792,               0.003819,               0.003819,               0.003819
                     60,                0.65295,                 1.4608,                0.79318,                0.48816,                0.32412,                0.33186,                0.23581,                0.37744,                 1.1834,                0.44226,               0.003669,               0.003669,               0.003669
                     61,                0.65655,                  1.488,                0.80654,                0.47695,                0.34676,                0.34061,                0.24848,                0.37675,                 1.1989,                0.44019,              0.0035204,              0.0035204,              0.0035204
                     62,                0.67715,                 1.5055,                0.83076,                0.46132,                 0.3514,                0.34641,                0.24801,                0.37176,                 1.2534,                0.43831,              0.0033732,              0.0033732,              0.0033732
                     63,                 0.6793,                 1.5058,                0.82397,                 0.4592,                 0.3311,                 0.3435,                0.24362,                0.37619,                 1.2285,                0.44132,              0.0032278,              0.0032278,              0.0032278
                     64,                0.64729,                  1.468,                0.79506,                0.45438,                0.32501,                 0.3439,                0.24097,                0.37664,                 1.1947,                0.44134,              0.0030841,              0.0030841,              0.0030841
                     65,                0.65137,                 1.4868,                0.80363,                0.45801,                0.33339,                0.34477,                0.24689,                 0.3771,                 1.2003,                0.44246,              0.0029424,              0.0029424,              0.0029424
                     66,                0.63619,                 1.4649,                0.78011,                0.46417,                0.31682,                0.34836,                0.24855,                0.37712,                 1.2029,                 0.4455,              0.0028027,              0.0028027,              0.0028027
                     67,                0.65514,                 1.4578,                0.81474,                0.49206,                0.34611,                0.35946,                0.25667,                0.36825,                 1.2016,                0.43946,              0.0026653,              0.0026653,              0.0026653
                     68,                0.65439,                 1.4752,                0.81431,                0.49208,                0.36493,                 0.3647,                 0.2618,                0.36821,                 1.2203,                0.43683,              0.0025302,              0.0025302,              0.0025302
                     69,                0.63058,                 1.4211,                0.78231,                0.48075,                0.34366,                0.35709,                0.25821,                0.37142,                 1.1854,                0.44031,              0.0023977,              0.0023977,              0.0023977
                     70,                0.66354,                 1.4022,                0.81015,                0.45558,                0.33499,                0.35582,                0.25459,                0.36778,                  1.185,                0.43733,              0.0022677,              0.0022677,              0.0022677
                     71,                0.66589,                 1.4495,                0.81541,                0.47596,                0.34061,                0.35332,                0.25442,                  0.372,                  1.175,                0.43898,              0.0021405,              0.0021405,              0.0021405
                     72,                 0.6468,                  1.433,                0.80724,                0.47641,                 0.3353,                0.35019,                0.25303,                0.37186,                 1.1663,                  0.439,              0.0020161,              0.0020161,              0.0020161
                     73,                0.63311,                 1.4217,                0.78698,                0.47907,                0.33463,                0.35151,                0.25387,                 0.3725,                 1.1478,                0.43907,              0.0018948,              0.0018948,              0.0018948
                     74,                0.63773,                  1.406,                 0.8048,                0.47348,                 0.3281,                0.35374,                0.25599,                 0.3732,                 1.1516,                0.43904,              0.0017765,              0.0017765,              0.0017765
                     75,                0.63262,                 1.3885,                0.78924,                0.45984,                0.33266,                0.35204,                0.25434,                 0.3709,                 1.1705,                0.43911,              0.0016615,              0.0016615,              0.0016615
                     76,                0.60451,                 1.3095,                0.77479,                0.46425,                 0.3444,                0.35522,                0.25767,                0.37193,                 1.1862,                0.43912,              0.0015498,              0.0015498,              0.0015498
                     77,                0.61078,                    1.4,                0.77812,                0.47025,                0.35547,                0.35744,                0.26058,                0.36915,                 1.2317,                0.43502,              0.0014416,              0.0014416,              0.0014416
                     78,                0.62232,                 1.3568,                0.78322,                 0.4682,                0.34933,                0.35417,                0.26023,                0.36291,                 1.2275,                0.43266,               0.001337,               0.001337,               0.001337
                     79,                0.60712,                 1.3291,                0.76726,                0.46476,                0.35663,                0.35552,                0.26011,                0.36266,                 1.2406,                 0.4322,               0.001236,               0.001236,               0.001236
                     80,                0.60426,                 1.3258,                 0.7773,                0.45757,                0.35465,                0.35592,                0.26004,                0.36373,                 1.2251,                0.43459,              0.0011387,              0.0011387,              0.0011387
                     81,                0.59434,                 1.2922,                0.76605,                0.45106,                0.35085,                0.35695,                0.26066,                0.36288,                 1.2275,                0.43362,              0.0010454,              0.0010454,              0.0010454
                     82,                 0.6026,                 1.3205,                 0.7783,                0.45428,                0.35042,                0.36015,                0.26266,                0.36272,                 1.2355,                0.43321,             0.00095595,             0.00095595,             0.00095595
                     83,                0.60524,                  1.336,                0.77947,                0.44712,                0.34134,                0.35618,                 0.2583,                0.36269,                  1.204,                0.43302,             0.00087058,             0.00087058,             0.00087058
                     84,                0.58157,                 1.2855,                0.75675,                0.44849,                 0.3367,                0.35513,                0.25564,                 0.3622,                 1.1801,                0.43334,             0.00078933,             0.00078933,             0.00078933
                     85,                0.60229,                 1.3343,                0.77354,                0.44523,                0.33349,                0.35454,                 0.2556,                0.36129,                 1.2008,                0.43201,             0.00071228,             0.00071228,             0.00071228
                     86,                0.61561,                 1.3178,                 0.7867,                0.43588,                  0.333,                0.35313,                0.25588,                0.36246,                 1.2167,                0.43194,             0.00063952,             0.00063952,             0.00063952
                     87,                0.58418,                 1.2216,                0.76981,                0.43806,                0.33928,                0.35421,                0.25695,                0.36352,                  1.227,                0.43244,             0.00057111,             0.00057111,             0.00057111
                     88,                0.58415,                 1.2764,                0.75733,                0.42807,                0.34283,                 0.3556,                0.25751,                 0.3636,                 1.2188,                0.43231,             0.00050711,             0.00050711,             0.00050711
                     89,                0.59051,                  1.276,                0.75739,                 0.4377,                0.34255,                0.35552,                0.25812,                0.36471,                 1.2138,                0.43308,             0.00044761,             0.00044761,             0.00044761
                     90,                 0.6082,                 1.3444,                0.77936,                0.43834,                0.34264,                0.35681,                0.25942,                0.36553,                 1.2047,                0.43387,             0.00039264,             0.00039264,             0.00039264
                     91,                0.32466,                0.71233,                0.43356,                0.46148,                0.33249,                0.35769,                0.26099,                0.36658,                 1.1728,                0.43427,             0.00034227,             0.00034227,             0.00034227
                     92,                0.32936,                0.70498,                0.44034,                0.47801,                0.33071,                 0.3586,                0.26056,                0.36746,                 1.1586,                0.43469,             0.00029655,             0.00029655,             0.00029655
                     93,                0.33077,                0.69769,                0.44089,                 0.4785,                0.32889,                0.35752,                0.26044,                0.36787,                 1.1462,                0.43585,             0.00025551,             0.00025551,             0.00025551
                     94,                0.33889,                0.69204,                0.45527,                0.47976,                0.33132,                0.35735,                0.26055,                0.36728,                 1.1424,                0.43608,             0.00021921,             0.00021921,             0.00021921
                     95,                0.32394,                 0.6912,                0.44059,                0.47349,                0.32932,                0.35623,                0.26015,                0.36726,                 1.1404,                 0.4368,             0.00018768,             0.00018768,             0.00018768
                     96,                0.33335,                0.70066,                0.44432,                0.46874,                0.32831,                0.35297,                0.25934,                0.36737,                 1.1409,                0.43711,             0.00016094,             0.00016094,             0.00016094
                     97,                0.32721,                0.69066,                  0.433,                0.46843,                0.32351,                0.35214,                0.25911,                 0.3672,                 1.1366,                0.43719,             0.00013903,             0.00013903,             0.00013903
                     98,                0.34181,                0.71895,                0.45268,                0.46522,                0.32114,                0.35165,                0.25809,                0.36728,                 1.1376,                0.43762,             0.00012197,             0.00012197,             0.00012197
                     99,                0.33725,                0.72295,                0.44865,                 0.4683,                0.32034,                0.35118,                0.25843,                0.36757,                 1.1399,                0.43799,             0.00010977,             0.00010977,             0.00010977
                    100,                0.31533,                0.65199,                0.42531,                0.46945,                0.31856,                0.35239,                0.25889,                0.36807,                 1.1385,                 0.4382,             0.00010244,             0.00010244,             0.00010244
